id	rank	chunk_id	dense_score	p4_adjustment	evidence_adjustment	final_ranking_value
R01	1	90	0.5186012674212152	0.025000000000000022	0.065	0.6086012674212151
R01	2	93	0.5891038456783888	0.025000000000000022	-0.03	0.5841038456783888
R02	1	96	0.5138921754232575	0.0024999999999999467	0.065	0.5813921754232574
R02	2	88	0.5612173822445035	0.0050000000000000044	0.01	0.5762173822445035
R02	3	104	0.5423372801865028	0.0024999999999999467	0.015	0.5598372801865028
R02	4	90	0.5115054013460129	0.0024999999999999467	0.015	0.5290054013460128
R02	5	99	0.5095676684911815	0.0024999999999999467	0.015	0.5270676684911815
R03	1	90	0.6346712112427164	0.020000000000000018	0.065	0.7196712112427164
R03	2	101	0.5581881764250852	0.020000000000000018	0.0625	0.6406881764250852
R03	3	94	0.6174137312379568	0.020000000000000018	-0.018	0.6194137312379568
R04	1	103	0.5900572538375854	0.0040000000000000036	0.065	0.6590572538375854
R04	2	89	0.5693635000830207	0.0030000000000000027	0.065	0.6373635000830207
R04	3	99	0.5591747735209412	0.0030000000000000027	0.065	0.6271747735209412
R04	4	95	0.512922262576615	0.0030000000000000027	0.065	0.5809222625766151
R04	5	101	0.561172978912979	0.0010000000000000009	0.0	0.562172978912979
R05	1	101	0.5778799043548515	0.003750000000000031	0.065	0.6466299043548516
R05	2	103	0.5778148584807421	0.0024999999999999467	0.065	0.645314858480742
R05	3	91	0.5132234323614313	0.0031250000000000444	0.065	0.5813484323614313
R05	4	98	0.5109724363187219	0.0024999999999999467	0.065	0.5784724363187219
R05	5	94	0.5846049235448563	0.0012499999999999734	-0.018	0.5678549235448562
R06	1	96	0.6533303674066047	0.02200000000000002	0.065	0.7403303674066046
R06	2	88	0.6631269454956243	0.02200000000000002	0.01	0.6951269454956244
G13	1	101	0.6111961155902166	0.0024999999999999467	0.065	0.6786961155902165
G13	2	103	0.5953464521925558	0.0016666666666667052	0.015	0.6120131188592225
G13	3	90	0.5751657992404401	0.0016666666666667052	0.015	0.5918324659071068
G16	1	91	0.5378676562625141	0.0024999999999999467	0.064375	0.604742656262514
G16	2	103	0.5382869564465864	0.0012499999999999734	0.015	0.5545369564465864
G16	3	88	0.5236602113449531	0.0012499999999999734	0.01	0.5349102113449531
G16	4	99	0.5124879661915268	6.249999999999867E-4	0.015	0.5281129661915268
G16	5	101	0.5032358619483588	6.249999999999867E-4	0.015	0.5188608619483588
